MOOSE SEED STEM HEART LAKE WOOD HOUSE MAZE COW ROPE SNOW BEAR 
BOY POLE PANTS PEARL OWL WALL STORE PLANT WEED TRASH SHIELD PHONE 
SKUNK CHEEK RAIN SHIP PARK CHIEF WORLD CASH MAIL TENT FISH KEY 
BOMB TEA JET BATH SMOKE GRASS RICE WAVE FOG DRESS BEAK BOX 
SHEEP PEAR WHALE LAWN GEESE SNAKE BLOOM FRUIT WING BALL NEST SUN 
HAND COIN FROG BEACH SNAIL CAR PIG SHELL MOUTH MAP STAR BREAD 
SKI BRIDGE ROCK BOOK PET ARM APE SPONGE PURSE HEN EGG SWAMP 
CLOWN FORT THUMB WHEEL HORSE PEA MOLE CLOTH STONE SAIL WOLF ROOT 
FILM PRINCE ROSE MULE CLOUD TOE FUDGE LAMP CORD ZOO BOAT PEN 
LAND TOOTH STORM RUG DOG NET ICE INK CLOCK BIRD SKY EEL 
LEAF TOAST DOCK DOOR TANK CROWN TRAIN OAR PASTE STEAK CAT SEA 
FLOOR SQUARE JUDGE PLANE DITCH ELF TRUCK TREE FLAG CLAY TAIL FOX 
SALT CHIN SEAL CUBE PIPE BUSH VEST TOOL ROOM JAIL DEER STRAW 
BLUSH VASE CART PIT SIGN MILK FLAME AXE ROOF SHOE MOUSE FENCE 
HORN GLOVE VINE PLATE HOSE STOVE STOOL PEACH CAPE BROOM FOOT KITE 
SPRING THREAD TIE BEAN CAKE BARN SPOON DART MAT STICK CANE NAIL 
JUICE CORN SEAT FARM EAR CRANE CAVE LOCK COUCH GRAPE WAND SLEEVE 
SUIT ROAD YARD BANK MUG WEB POND VAN STAIR CONE TOY JAR 
CALF SWORD STREET SOCK BOARD GUARD STRING SLUSH FOAM SCHOOL BEE PIE 
GLASS NOSE WORM FACE BOWL SHARK BED FOOD LEG MUD HILL BENCH 
CHAIR CUP BRUSH DUCK TRAY PALM PIN RIB CAGE BAND SMILE SINK 
SHEET STEAM RAKE BAG GOLD JEEP OAK DRUM BRANCH SOAP SLIME SHIRT 
FORK LIP BOOT SPEAR FLUTE DOLL LAMB GOAT CROW TOAD BAT FAN 
ANT SPARK BRICK HAWK TEETH CLIFF RAT HOOF SOUP MOON GATE HOLE 
HAT FLEA DIME SHRIMP HOOK POOL FUR BADGE DESK ARK CHALK MOTH 
