SHRIMP COW SQUARE GOLD AXE SHEEP PLANE MAIL SMILE CAVE BEACH FUDGE 
HORN CLOWN HEART STONE WHEEL SEAL SAIL STEM RAKE SLIME BIRD CRANE 
TRAY TOAD TRUCK HEN TIE BRICK LAND SHOE SNAIL SNAKE SHEET BLUSH 
MOOSE TREE CASH CAT BAND BEAN TRASH OWL EAR FOAM DOCK SHIELD 
LAWN WORM DOLL TANK SWORD NOSE TOOTH EGG FLAG CUBE HOOK CART 
SOUP CHALK HOLE CLOTH PHONE PURSE ZOO FENCE DOOR BEAK LEAF WAVE 
SUN SMOKE PLANT PIG FILM BRANCH STEAM FROG WEB PEARL SPOON CORD 
MOTH SHIP TEA MOUSE BLOOM BOMB STEAK JET BALL WEED RAIN STORM 
MUD CONE MUG SKI CHIEF ANT WOOD MOLE GLOVE FLAME BEE ARK 
GRAPE JAIL HOUSE HAT JUDGE FOG FISH THREAD BOAT WHALE POLE PIPE 
CROWN FRUIT PRINCE HORSE KEY INK CLAY RIB MOUTH PEAR BOARD NEST 
WOLF WORLD CLIFF STRING VAN FUR STICK ROSE FAN POOL PEN JEEP 
LAMB CROW RICE GRASS CHIN SNOW CHAIR LAKE PIN APE DRUM MAP 
HOOF HOSE MILK JUICE PASTE TENT CUP SPARK THUMB VEST GATE DEER 
ROOM SIGN FLOOR SEA SPRING ROOT OAR BRUSH STAR PIT TOAST BUSH 
SKY BEAR SHELL HAWK MOON BANK KITE MULE BOOK TRAIN PARK NET 
DOG YARD SOAP GUARD SUIT PET SLEEVE BADGE FLUTE BOOT ICE SOCK 
COUCH CLOUD VINE DESK SINK JAR TOE TOY SPONGE LIP CORN BARN 
SEED DART CHEEK SPEAR NAIL COIN ROPE FOX BOX PEACH PANTS CALF 
VASE SHARK PIE POND FORT GEESE DITCH PALM LEG PLATE RUG TEETH 
CAR STOOL PEA CAGE SALT STOVE CAPE SEAT GOAT OAK SWAMP LAMP 
HILL BED BRIDGE WALL STRAW FARM EEL GLASS ROOF MAZE CLOCK BOWL 
FACE FOOD SKUNK STORE CAKE ARM STREET TOOL BROOM WING WAND MAT 
ROAD RAT BAT TAIL BENCH STAIR DIME BAG FLEA SHIRT ELF HAND 
LOCK BATH BREAD FOOT BOY ROCK DRESS DUCK FORK CANE SLUSH SCHOOL 
