MUG HAND TIE BOX BAG TEA BEAK LEG SLEEVE SINK CAKE CAGE 
SUIT BENCH PEA DOOR TRAY DRESS SHOE MAT PALM CHEEK FACE PANTS 
BAND SHIRT CLOCK CART ARK COUCH FORK STREET LOCK TRUCK CLOWN DIME 
TOE LAMB PHONE STOVE SMILE INK FOAM BRUSH STICK OAR DESK BOWL 
CUP FRUIT GLASS LIP PIN CHIN STOOL CHAIR TOAST PLATE FOOT ELF 
ROSE SKUNK SPRING BUSH CALF WAND WOLF MULE DITCH ROPE TAIL SWAMP 
STEAK MOOSE CLOTH FENCE PIE BATH HORN PEACH GRASS SIGN OAK WOOD 
BROOM RUG SOAP FLAME LAMP BEAN JAR VINE APE WALL TENT SOUP 
NOSE STRING BOOT FAN SLIME PURSE TEETH THUMB PASTE MUD STRAW YARD 
HOLE GATE CANE CAVE RIB AXE MOLE BEE FLOOR ROOF SHIELD STORM 
HOSE BRICK NAIL CLAY SQUARE PIT PIPE CUBE DOCK STONE GUARD TOOL 
ROOM MOUTH DOLL CROWN JUICE SALT THREAD VASE BREAD GOLD WORM SLUSH 
CAPE FOOD BLOOM PLANT LAND STAR SEAL MOON BEACH WHALE SUN RICE 
SHARK CAT CHIEF BAT CROW TREE HOOK MOTH SHEEP PRINCE MOUSE WEB 
BOARD GLOVE TANK NET BOAT SPONGE BOY SHIP TOY SEA ARM PEARL 
BOMB CORD HEART WHEEL FISH TOOTH WEED POLE FILM BALL WAVE EGG 
COIN BOOK BANK PLANE SHEET EEL CAR WING KEY CASH MAIL RAIN 
TOAD FLUTE RAKE MAZE GRAPE DOG TRASH CONE PEAR BRANCH ICE STEM 
BIRD BEAR KITE PIG FOX FLEA DEER PEN HAT COW SOCK SNAKE 
SWORD SPEAR CLIFF STEAM JAIL ROCK FUDGE SAIL SMOKE JUDGE FORT BRIDGE 
SCHOOL SPOON LAKE POOL FUR FOG BED JET SPARK WORLD SKI SEAT 
JEEP PET TRAIN LAWN STORE DART HEN ROAD RAT HORSE FARM CHALK 
SHELL HOOF MILK MAP CORN ROOT STAIR SNAIL LEAF SHRIMP ANT SEED 
DRUM CRANE FLAG SNOW BADGE BLUSH GEESE VAN DUCK PARK EAR ZOO 
BARN POND HAWK OWL HOUSE NEST SKY GOAT CLOUD VEST HILL FROG 
