BRICK HEN SOAP RICE BED STREET JET FUDGE BIRD PLANT TRAIN MILK 
BOOK WEED FISH WOLF ROPE PEACH CORD RAKE CLOTH WOOD MOUSE LEAF 
SHIP SHEET CLOUD PASTE TEETH SLIME PIT JEEP SKI CHIEF STORE DRUM 
GLOVE GOAT STEAM MOLE ZOO OAR HOSE FLOOR TRASH LAKE SHELL POLE 
FROG BRIDGE ROOT ROAD TOAD ICE INK SCHOOL HAT JUICE JAIL BRUSH 
BEACH OAK POND GOLD FOAM MOOSE TANK GEESE NEST WHEEL CONE SMOKE 
BOY GLASS CAGE SHEEP FILM MULE SIGN COW BAT SWAMP STAR BEAK 
ROOM MAIL HORSE PRINCE BLOOM EEL CROW GRASS PALM CASH ROSE PHONE 
WAND CAT DEER WAVE PIG FLAG WALL CLIFF ROCK TEA SALT EGG 
BEAR SWORD BEAN COIN WING TENT FOG TOOTH TRUCK DUCK SLUSH DOG 
DOCK BOARD NET HAWK SPARK FORT BUSH RAIN SNAKE PANTS TREE APE 
PEN NOSE CHAIR CRANE WORLD STONE STOOL GUARD LAND LOCK NAIL BAG 
PIPE BLUSH WEB CHIN SLEEVE PLANE CLOCK FOOT FOX LEG SHIELD CAVE 
WORM DIME CUP STEM SEED PEA PEARL PET SINK BOX FRUIT SPOON 
ARK TAIL SPONGE TIE SKUNK MAT STOVE LIP GRAPE VAN VASE RAT 
TOY HOLE BROOM CLOWN BANK VEST JAR LAMP BEE STORM MUD SOCK 
SEA PARK DITCH CAR MAP EAR CROWN KITE FORK LAMB HOOK FLAME 
YARD FACE MUG SEAL PIN FLEA FLUTE STRING ARM TOAST SUIT FENCE 
BOWL SPRING BREAD CLAY PLATE FUR HILL CHEEK STAIR HOOF CHALK BARN 
SHOE OWL CANE SAIL DOOR TOOL DOLL CALF ROOF SHIRT SQUARE DART 
RUG BOMB PURSE WHALE THUMB SMILE PEAR STICK STRAW SNAIL HEART BOOT 
PIE BRANCH MAZE AXE CUBE GATE BALL SNOW SEAT FAN CORN MOUTH 
COUCH HAND ELF LAWN SHRIMP TRAY BADGE SKY MOON SOUP JUDGE CART 
BENCH POOL HOUSE CAPE BATH SUN CAKE STEAK FARM MOTH TOE RIB 
DESK SPEAR FOOD SHARK BAND KEY THREAD HORN VINE DRESS BOAT ANT 
