HORSE GOAT MOUTH TOAST OAR CLOWN BADGE STORE GOLD TENT ICE CLAY 
SALT MOTH MOOSE PHONE BEAR ROAD BOY VAN WING EAR JUDGE ROCK 
SHEEP AXE FOX RAIN HILL DOCK STEAM DOG SLIME BEE KEY GRASS 
WAVE PARK SPONGE OWL HOOF CORN MOLE TEETH FOG LAND STAR SUN 
SHELL LAKE POLE SNAKE FRUIT EGG FARM WOLF ELF BOOK CLIFF CORD 
JET RUG WHALE DRUM DIME VEST BROOM OAK SEA SOAP TREE CHALK 
FISH GRAPE PIE FILM EEL INK MOON NEST SPARK JEEP TOOTH STEM 
BIRD SNOW PRINCE COW VINE SHIP SPEAR BEACH CAKE FUDGE TRAIN BALL 
PEA CAVE SUIT WALL BAT PET MAP SKY STORM SHRIMP CAR HEART 
SCHOOL MAZE PEAR BAND SAIL LEAF BANK CUBE TANK BED ROOT NOSE 
JAIL NET WORLD BRANCH STONE SEED SKI CLOCK MAIL TRASH TOOL COIN 
SMILE CLOUD HOOK BUSH SHIRT WEED DESK PEARL WORM RAT WOOD HAT 
PANTS RAKE CONE BEAK PEN TIE PIPE SPRING STOVE SMOKE HOUSE BOWL 
LAMP ROSE PURSE MUG SLEEVE HOLE HEN PASTE NAIL APE STICK BARN 
BLOOM BENCH TOAD WAND STOOL ROPE ARM CAGE FACE MUD SHIELD STEAK 
STRAW FLUTE BREAD MAT GATE SOCK PIG FLAME BEAN HORN WEB FLOOR 
DOOR POND PLANT GLOVE COUCH DEER SQUARE PLANE DOLL FOOD PEACH SLUSH 
STREET SHEET BRUSH WHEEL PLATE BLUSH DUCK CRANE SIGN PIN DRESS ZOO 
SHARK STRING GLASS SOUP JUICE SEAL CHIEF CART JAR SPOON SWAMP CALF 
CASH FLAG CHAIR MULE BOARD RIB ROOF FLEA LIP CROW ANT SINK 
TOE TEA FUR BATH CANE TAIL DART FORK MOUSE SHOE GUARD VASE 
LOCK THREAD BOOT STAIR BRIDGE SWORD TRUCK CLOTH THUMB TOY CUP ROOM 
SKUNK DITCH HOSE BAG BOX MILK YARD PIT FENCE FOAM ARK LAMB 
TRAY LEG LAWN GEESE FOOT CHIN FROG RICE CAPE BRICK CAT CROWN 
FAN BOAT PALM CHEEK FORT SNAIL HAWK HAND KITE SEAT BOMB POOL 
