FOX FOOD CLAY CALF FUDGE SEAT POND ROOM JET BOMB SAIL BEAR 
MOUSE BOY SHARK FOG BADGE SINK DRESS TRUCK TEA CLOTH RAIN PIE 
BOX LAMP NET SNAIL BOARD FROG MOTH TRAIN SPRING JUICE FLAME LEAF 
SHIELD MULE CHIEF WAVE JAR NOSE FARM FORT DRUM DEER CORD WAND 
BRANCH WOLF CAR BIRD SHIP CAPE EAR MOLE BLUSH STRING NEST JEEP 
GUARD PEA FILM BEACH SPONGE GEESE JUDGE SQUARE THREAD CUP ROOT SWORD 
SEA CROWN ICE MOON BRUSH BATH NAIL SLUSH STORM TAIL HEN MAIL 
MILK HORSE EEL DIME CLOWN PLANT STEAK TOOL LEG TOOTH SMOKE PRINCE 
TRAY BAND RICE STEAM CUBE CLOCK SWAMP STAIR SUN HEART STORE LAKE 
OAR TEETH SCHOOL SHIRT CLOUD HOSE CHIN STEM SKI WEB FRUIT BENCH 
MOOSE CONE PEARL BOAT MOUTH FLEA FORK PLANE FOOT BLOOM GOLD BRIDGE 
BUSH SNOW TOY ROCK WALL SKY TREE SOCK FUR ROPE ZOO STOOL 
SUIT CHAIR HAT APE FENCE BOOT CANE CASH SLEEVE BANK SHOE SPOON 
BEAN BALL TRASH LAWN EGG FACE PEAR FOAM BEAK HAWK STRAW VAN 
ELF COW GRAPE WING CROW WHEEL KEY CLIFF PIN LIP PANTS MAT 
CART BED DUCK TANK HOOK JAIL SEED PLATE ARK DOG BAT PASTE 
FLAG LAMB STOVE OAK HOUSE RIB STICK THUMB CORN POOL VINE PIT 
WORM CAT BRICK BROOM DOOR DOLL WORLD ARM PET POLE RAT OWL 
GATE BAG BOWL PEACH LOCK PARK PHONE CHALK PALM TIE HOOF TOE 
DART TOAD INK PIPE PIG SNAKE BEE CAVE SHELL SOAP SHRIMP RAKE 
STONE STAR DESK MAP FAN WHALE GOAT CRANE WOOD ROOF SHEET VEST 
BOOK LAND COIN GLOVE COUCH STREET MUD WEED ROSE SOUP CHEEK PURSE 
YARD DITCH MUG GRASS SPEAR DOCK HORN ROAD SHEEP HAND SLIME TOAST 
FLUTE CAGE SMILE HILL AXE SIGN BARN FISH ANT TENT VASE GLASS 
HOLE SPARK CAKE SALT MAZE PEN RUG SKUNK FLOOR SEAL BREAD KITE 
