INK FLAME STAR CAKE MOLE FUDGE DRUM BAND STORM BRANCH ROCK WOOD 
DUCK CAR MULE SOCK BEE RAT WEED SCHOOL LAND CHIEF CORN CORD 
JET STREET FLAG SNOW TOY HOSE STONE PLANT CAT TOAD CLOCK GRAPE 
JAIL BRICK SALT BOWL DITCH TREE ARK BRIDGE TRASH NAIL FILM MAZE 
COIN PLATE FOOD CAPE WHALE TANK MOUSE SHRIMP BLOOM OWL MOON DOLL 
PEAR SAIL STORE OAR NET STEM VINE WAVE HILL EAR PHONE BOX 
SHEET FARM CALF CRANE FOG LAMP SEAL WAND RAIN STEAK BAT NOSE 
TOOTH ZOO POLE BANK CUBE BOMB SWORD SKI CASH PET VASE SPRING 
ROOT PIT SPARK COUCH MILK WEB TEETH STRING DOG POND SLUSH BOARD 
BALL VAN RIB HAT SLEEVE TOOL HEART HOOK FORT TRUCK COW BOOK 
HEN TOAST HORN APE FORK ICE DEER ANT PANTS LAKE RICE BEAR 
SEED FROG ARM SKY GLOVE CLOTH SINK MUD SUN BOAT BADGE WALL 
HOLE FLOOR PASTE SNAKE RAKE EGG MUG HAND ELF HORSE SKUNK SWAMP 
PRINCE PEARL ROSE STEAM BAG FENCE WOLF CUP FOOT LAWN PEA PIN 
CLAY KITE SHIRT GATE WING FOAM SOAP STOOL PIE MAIL FOX PEACH 
SMOKE BREAD TIE PIPE TRAY SHARK AXE PIG BEACH ROOF JEEP PALM 
EEL GOLD CHALK CROWN VEST TOE MOUTH LEG CLOWN FAN BIRD GRASS 
FRUIT MOOSE BARN CHEEK JUDGE SHIELD THUMB SHOE CAGE GLASS SHELL CAVE 
DOOR BROOM CART TAIL CLIFF BENCH BUSH STICK TEA YARD BRUSH WORLD 
THREAD FISH FACE HOUSE SPONGE BLUSH BATH MOTH CONE STOVE LIP CHIN 
SNAIL GOAT PLANE LOCK TENT SOUP SPOON JAR JUICE BEAK DIME SIGN 
FUR PEN ROPE SHIP PARK BOY DRESS HAWK SLIME BEAN CHAIR STAIR 
BED SQUARE STRAW LEAF PURSE ROAD FLEA POOL RUG CROW FLUTE CLOUD 
NEST SEA MAP GUARD MAT SPEAR TRAIN SEAT WORM KEY CANE HOOF 
OAK DOCK BOOT ROOM SMILE WHEEL SUIT LAMB GEESE DART SHEEP DESK 
